,cod_mod_anexo,ece_imputado,ind_leng_prim_imp,ind_mate_prim_imp
9488,06660320,1,0.0,0.0
9489,06660400,1,0.6923077,0.61538464
9490,06660650,1,0.6,0.48000002
9491,06663390,1,1.0,1.0
9492,06663470,1,0.8,0.8
9493,06663540,1,0.625,0.875
9494,06663620,1,0.4,0.2
9495,06665600,1,1.0,1.0
9496,06665860,1,0.4,0.2
9497,06666020,1,1.0,1.0
9498,06666100,1,1.0,1.0
9499,06666280,1,0.75,1.0
9500,06666360,1,1.0,1.0
9501,06666510,1,1.0,0.6
9502,06666690,1,0.875,0.875
9503,06666770,1,0.64705884,0.8235294
9504,06666850,1,0.7567568,0.9054054
9505,06669580,1,0.4,0.6
9506,06671470,1,0.5084746,0.37288135
9507,06671540,1,0.33333334,0.22222222
9508,06671620,1,0.2857143,0.21428573
9509,06672610,1,0.4375,0.375
9510,06672790,1,0.8125,0.75
9511,06672870,1,0.84615386,0.84615386
9512,06672950,1,0.6,0.8
9513,06673290,1,0.33333334,0.52380955
9514,06674100,1,0.16666667,0.0
9515,06675190,1,0.5,0.1
9516,06675270,1,0.6666667,0.8333334
9517,06675350,1,1.0,0.6666667
9518,06676750,1,0.75,0.375
9519,06677090,1,0.27272728,0.09090909
9520,06679150,1,0.6363636,0.45454547
9521,06679230,1,0.875,0.875
9522,06679560,1,0.5,0.16666667
9523,06679640,1,0.5555556,0.33333334
9524,06679720,1,0.5,0.5
9525,06679980,1,0.15789473,0.07017544
9526,06680380,1,0.5,0.75
9527,06680530,1,0.5,0.5
9528,06680610,1,0.6666667,0.5
9529,06681370,1,0.5609756,0.5609756
9530,06681520,1,0.6,0.2
9531,06681600,1,0.47058824,0.1764706
9532,06682510,1,0.23529412,0.23529412
9533,06683190,1,0.0,0.0
9534,06683760,1,0.5714286,0.85714287
9535,06684260,1,0.5,0.16666667
9536,06685820,1,0.75,0.75
9537,06686400,1,0.25,0.0
9538,06687230,1,0.16666667,0.6666667
9539,06687490,1,1.0,1.0
9540,06687560,1,0.35714287,0.64285713
9541,06688060,1,0.4,0.4
9542,06688480,1,0.11111111,0.14814815
9543,06688710,1,0.7777778,0.7777778
9544,06688890,1,0.5714286,0.42857143
9545,06689390,1,0.0,0.0
9546,06689540,1,0.0,0.0
9547,06689880,1,0.5833333,0.33333334
9548,06690100,1,0.0,0.0
9549,06691010,1,1.0,0.96
9550,06694650,1,0.23529412,0.15686275
9551,06694730,1,0.6666667,0.6666667
9552,06696060,1,0.7777778,0.7777778
9553,06697050,1,0.0,0.0
9554,06697130,1,0.33333334,0.5
9555,06697210,1,0.11111111,0.0
9556,06697470,1,0.33333334,0.33333334
9557,06697540,1,0.0,0.14285715
9558,06699940,1,0.75,0.625
9559,06700000,1,0.5,0.0
9560,06700670,1,0.0,0.0
9561,06700750,1,0.42857143,0.5714286
9562,06703310,1,0.8333334,0.0
9563,06703490,1,0.71428573,0.5
9564,06703560,1,1.0,0.375
9565,06703720,1,0.29032257,0.2580645
