,cod_mod_anexo,ece_imputado,ind_leng_sec_imp,ind_mate_sec_imp
255,13755180,1,0.59615386,0.5384615
256,13767970,1,1.0,0.9444444
257,13792880,1,0.375,0.625
258,13795020,1,0.7777778,0.7222222
259,13796500,1,0.6,1.0
260,13796840,1,0.6111111,0.6666667
261,13797340,1,0.875,0.9375
262,13798410,1,0.875,0.75
263,13799080,1,0.72727275,0.72727275
264,13800620,1,0.71428573,0.71428573
265,13801790,1,1.0,1.0
266,13802520,1,0.6,1.0
267,13811440,1,0.21621622,0.21621622
268,13901370,1,0.33333334,0.54545456
269,13916480,1,1.0,1.0
270,13931800,1,1.0,0.8333333
271,13963730,1,1.0,0.93333334
272,13963810,1,1.0,1.0
273,13995670,1,1.0,0.85714287
274,13995750,1,1.0,0.9
275,13996090,1,1.0,1.0
276,14007380,1,1.0,1.0
277,14010660,1,1.0,1.0
278,14045990,1,0.8333333,0.6666667
279,14234900,1,0.42857143,0.64285713
280,14236150,1,0.4625,0.51666665
281,14367160,1,0.8181818,0.8181818
282,14553100,1,0.49305555,0.5749129
283,14582980,1,1.0,0.85714287
284,14593950,1,1.0,1.0
285,14658970,1,0.84210527,1.0
286,15049010,1,0.6,0.90000004
287,15169960,1,0.9130435,0.9130435
288,15233490,1,0.85714287,0.85714287
289,15233800,1,1.0,0.6
290,15335790,1,1.0,0.6666667
291,15342390,1,1.0,1.0
292,15405090,1,1.0,1.0
293,15417880,1,1.0,0.9411765
294,15463990,1,0.54545456,0.54545456
295,15469930,1,0.5833333,0.41666666
296,15714390,1,0.5833333,0.41666666
297,15725440,1,1.0,1.0
298,15775840,1,0.5,0.625
299,15975250,1,0.4,0.6
300,16003450,1,0.8064516,0.96774197
301,16004020,1,1.0,1.0
302,16032160,1,1.0,1.0
303,16036610,1,0.84444445,0.8888889
304,16059300,1,1.0,1.0
305,16059550,1,1.0,1.0
306,16091060,1,0.9545455,1.0
307,16291120,1,1.0,1.0
308,16303590,1,1.0,1.0
309,16317610,1,0.84615386,0.9230769
310,16361090,1,1.0,1.0
311,16399210,1,0.14673913,0.3169399
312,16450190,1,0.5510204,0.62857145
313,16556120,1,1.0,1.0
314,16665510,1,0.8974359,0.84615386
315,16684250,1,0.57272726,0.4909091
316,16685990,1,0.66,0.7
317,16686560,1,0.7254902,0.81372553
318,16687710,1,0.5,0.4642857
319,16694490,1,0.69911504,0.8141593
320,16695480,1,0.36,0.44
321,16695550,1,0.5909091,0.5681818
322,16697460,1,0.8181818,0.90909094
323,16697530,1,0.7083333,0.8333333
324,16697950,1,0.5882353,0.7941177
325,16698030,1,0.68421054,0.71929824
326,16964260,1,0.877551,0.8979592
327,17018530,1,1.0,0.9285714
328,17020340,1,0.7627119,0.6016949
329,17020420,1,0.7451923,0.8125
330,17021410,1,0.55932206,0.5423729
331,17022240,1,0.8051948,0.93589747
332,17022650,1,0.4871795,0.4564516
333,17022730,1,0.8738739,0.954955
334,17029920,1,0.47033897,0.529661
335,17036690,1,1.0,1.0
336,17174790,1,0.3559322,0.42372882
337,17187660,1,1.0,1.0
338,17223620,1,0.71428573,0.85714287
339,17303650,1,0.8888889,1.0
340,17320070,1,0.77,0.79
341,17324450,1,1.0,1.0
342,17343590,1,0.72413796,0.87586206
343,17391760,1,0.6984127,0.73015875
344,17396140,1,0.5849057,0.5849057
345,17492660,1,0.5483871,0.7096774
346,17548450,1,0.85714287,1.0
347,17564510,1,0.64705884,0.7647059
348,17586140,1,1.0,1.0
349,17588460,1,0.7647059,0.88235295
350,17619560,1,0.82608694,0.9130435
351,17650800,1,0.2,0.4
352,17651300,1,1.0,1.0
353,17660210,1,0.8,0.8
354,17663930,1,0.8333333,1.0
355,17675810,1,1.0,1.0
356,17681910,1,0.0,0.14285715
357,17683650,1,0.9090909,1.0
358,17684720,1,1.0,1.0
359,17684800,1,1.0,1.0
360,17684980,1,1.0,1.0
361,17688030,1,0.6551724,0.62068963
362,17696290,1,1.0,1.0
363,17696450,1,0.8888889,0.6666667
364,17699750,1,0.8486842,0.81578946
365,17701140,1,1.0,0.9230769
366,17701220,1,0.875,0.875
367,17701300,1,0.94871795,0.974359
368,17701970,1,0.71052635,0.69736844
369,17706840,1,0.60465115,0.67441857
370,17708820,1,0.42857143,0.2857143
371,17709400,1,1.0,1.0
372,17709730,1,0.875,0.9166667
373,17710540,1,1.0,1.0
374,17711460,1,1.0,1.0
375,17715910,1,0.46354166,0.5052083
376,17716740,1,1.0,1.0
377,17718150,1,1.0,1.0
378,17718230,1,1.0,1.0
379,17720520,1,0.85714287,1.0
380,17723260,1,1.0,1.0
381,17724580,1,1.0,1.0
382,17726640,1,1.0,0.9545455
383,17726720,1,0.8157895,0.868421
384,17730350,1,0.8557692,0.77884614
385,17731590,1,0.9047619,1.0
386,17732170,1,0.84375,0.96875
387,17733570,1,1.0,0.70000005
388,17736390,1,1.0,1.0
389,17736470,1,0.77272725,0.8636364
390,17737120,1,0.42592594,0.4074074
391,17737460,1,0.4117647,0.5
392,17738520,1,1.0,1.0
393,17739690,1,0.8333333,0.6666667
394,17742800,1,0.71999997,0.84
395,17743480,1,0.8,0.8
396,17743890,1,0.9230769,0.9230769
397,17745610,1,0.7777778,0.7222222
398,17749340,1,1.0,1.0
399,17749910,1,1.0,0.9285714
400,17751540,1,0.65853655,0.7804878
401,17753940,1,0.75,0.625
402,17754690,1,0.9302326,0.96511626
403,17755190,1,0.8529412,0.91176474
404,17755760,1,0.7826087,0.72727275
405,17755920,1,0.7421384,0.6918239
406,17756260,1,0.8,0.8
407,17757170,1,0.84210527,0.68421054
408,17757330,1,0.875,0.875
409,17757900,1,0.60714287,0.6964286
410,17758080,1,1.0,1.0
411,17758160,1,0.8333333,0.8333334
412,17759070,1,0.85714287,0.42857143
413,17760610,1,1.0,1.0
414,17760790,1,1.0,1.0
415,17767640,1,0.9230769,1.0
416,17768710,1,0.9,1.0
417,17769130,1,1.0,1.0
418,17771500,1,0.7692308,0.84615386
419,17772670,1,0.97222227,0.9444445
420,17774080,1,0.84313726,0.5882353
421,17774160,1,0.84313726,0.5882353
422,17775230,1,1.0,1.0
423,17775310,1,0.88,0.84000003
424,17777130,1,0.92857146,1.0
425,17777960,1,0.61538464,0.65384614
426,17778120,1,0.71428573,1.0
427,17779520,1,1.0,1.0
428,17782400,1,0.42975205,0.4876033
429,17782570,1,0.7,0.5
430,17782990,1,0.8627451,0.88235295
431,17783070,1,1.0,1.0
432,17784480,1,1.0,1.0
433,17785470,1,1.0,0.9
434,17785540,1,1.0,1.0
435,17786380,1,0.7692308,0.65384614
436,17786460,1,0.5,0.64285713
437,17786530,1,0.8,0.90000004
438,17786610,1,0.8888889,0.6666667
439,17786790,1,0.7777778,0.8888889
440,17787450,1,0.6666667,0.7777778
441,17789190,1,0.8181818,0.72727275
442,17790320,1,0.6666667,0.0
443,17790400,1,1.0,1.0
444,17790990,1,0.8333333,0.8333334
445,17793210,1,0.8585859,0.82828283
446,17793390,1,1.0,0.8
447,17793470,1,1.0,1.0
448,17793540,1,0.84210527,0.8947368
449,17793620,1,0.8333333,1.0
450,17794530,1,1.0,1.0
451,17797350,1,0.75,0.825
452,17797430,1,0.78571427,0.71428573
453,17797500,1,1.0,0.6666667
454,17797680,1,0.7368421,0.7368421
455,17797760,1,0.5882353,0.7647059
456,17797840,1,0.5882353,0.7647059
457,17797920,1,0.77272725,0.6818182
458,17798000,1,0.85,0.7
459,17798180,1,0.78571427,0.7380952
460,17798260,1,0.4166667,0.75
461,17798340,1,0.6875,0.75
462,17798420,1,0.4166667,0.75
463,17798910,1,1.0,0.923077
464,17799090,1,0.61538464,0.65384614
